sim_id,strategy,topology,nodes,seed,load,policy_type,policy_param,placement_success,time_s
236,best-fit,hierarchical,50,3997,0.5,degrade,0.5,0.0877777777777777,2.514
237,best-fit,hierarchical,50,3997,0.5,degrade,0.6,0.1183333333333333,2.841
238,best-fit,hierarchical,50,3997,0.5,kill,0.01,0.6744444444444444,3.78
239,best-fit,hierarchical,50,3997,0.5,kill,0.05,0.5138888888888888,3.535
240,best-fit,hierarchical,50,3997,0.5,kill,0.1,0.3972222222222222,3.635
241,best-fit,random,20,42,0.0,degrade,0.4,0.0511111111111111,1.031
242,best-fit,random,20,42,0.0,degrade,0.5,0.0838888888888888,1.13
243,best-fit,random,20,42,0.0,degrade,0.6,0.1183333333333333,1.163
244,best-fit,random,20,42,0.0,kill,0.01,0.5155555555555555,1.399
245,best-fit,random,20,42,0.0,kill,0.05,0.4705555555555555,1.446
246,best-fit,random,20,42,0.0,kill,0.1,0.3188888888888889,1.456
247,best-fit,random,20,42,0.5,degrade,0.4,0.0683333333333333,0.998
248,best-fit,random,20,42,0.5,degrade,0.5,0.0894444444444444,1.174
249,best-fit,random,20,42,0.5,degrade,0.6,0.1227777777777777,1.188
250,best-fit,random,20,42,0.5,kill,0.01,0.4294444444444444,1.688
251,best-fit,random,20,42,0.5,kill,0.05,0.2427777777777778,1.357
252,best-fit,random,20,42,0.5,kill,0.1,0.1727777777777777,1.298
253,best-fit,random,20,3997,0.0,degrade,0.4,0.065,0.974
254,best-fit,random,20,3997,0.0,degrade,0.5,0.0861111111111111,0.986
255,best-fit,random,20,3997,0.0,degrade,0.6,0.1233333333333333,1.028
256,best-fit,random,20,3997,0.0,kill,0.01,0.6844444444444444,1.148
257,best-fit,random,20,3997,0.0,kill,0.05,0.4172222222222222,1.21
258,best-fit,random,20,3997,0.0,kill,0.1,0.3411111111111111,1.337
259,best-fit,random,20,3997,0.5,degrade,0.4,0.0672222222222222,0.945
260,best-fit,random,20,3997,0.5,degrade,0.5,0.0894444444444444,0.997
261,best-fit,random,20,3997,0.5,degrade,0.6,0.115,1.01
262,best-fit,random,20,3997,0.5,kill,0.01,0.5755555555555556,1.319
263,best-fit,random,20,3997,0.5,kill,0.05,0.3044444444444444,1.384
264,best-fit,random,20,3997,0.5,kill,0.1,0.3122222222222222,1.357
265,best-fit,random,50,42,0.0,degrade,0.4,0.0677777777777777,2.404
266,best-fit,random,50,42,0.0,degrade,0.5,0.0911111111111111,2.753
267,best-fit,random,50,42,0.0,degrade,0.6,0.1216666666666666,2.904
268,best-fit,random,50,42,0.0,kill,0.01,0.925,4.148
269,best-fit,random,50,42,0.0,kill,0.05,0.6822222222222222,3.416
270,best-fit,random,50,42,0.0,kill,0.1,0.5466666666666666,3.285
271,best-fit,random,50,42,0.5,degrade,0.4,0.0677777777777777,2.769
272,best-fit,random,50,42,0.5,degrade,0.5,0.09,3.014
273,best-fit,random,50,42,0.5,degrade,0.6,0.1222222222222222,3.401
274,best-fit,random,50,42,0.5,kill,0.01,0.795,4.913
275,best-fit,random,50,42,0.5,kill,0.05,0.5572222222222222,3.769
276,best-fit,random,50,42,0.5,kill,0.1,0.4488888888888889,3.665
277,best-fit,random,50,3997,0.0,degrade,0.4,0.0661111111111111,2.5
278,best-fit,random,50,3997,0.0,degrade,0.5,0.0911111111111111,2.481
279,best-fit,random,50,3997,0.0,degrade,0.6,0.1177777777777777,2.878
280,best-fit,random,50,3997,0.0,kill,0.01,0.9366666666666666,3.668
281,best-fit,random,50,3997,0.0,kill,0.05,0.7161111111111111,3.173
282,best-fit,random,50,3997,0.0,kill,0.1,0.5655555555555556,3.075
283,best-fit,random,50,3997,0.5,degrade,0.4,0.0644444444444444,2.3
284,best-fit,random,50,3997,0.5,degrade,0.5,0.0872222222222222,2.601
285,best-fit,random,50,3997,0.5,degrade,0.6,0.1172222222222222,2.934
286,best-fit,random,50,3997,0.5,kill,0.01,0.92,4.632
287,best-fit,random,50,3997,0.5,kill,0.05,0.6477777777777778,4.014
288,best-fit,random,50,3997,0.5,kill,0.1,0.5561111111111111,4.011
289,min-energy,star,20,42,0.0,degrade,0.4,0.0166666666666666,0.896
290,min-energy,star,20,42,0.0,degrade,0.5,0.0216666666666666,0.959
291,min-energy,star,20,42,0.0,degrade,0.6,0.03,0.981
292,min-energy,star,20,42,0.0,kill,0.01,0.1916666666666666,1.173
293,min-energy,star,20,42,0.0,kill,0.05,0.0061111111111111,1.323
294,min-energy,star,20,42,0.0,kill,0.1,0.1233333333333333,1.373
